object_id,features,functions,sources
box,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_move aff_open aff_pull aff_push aff_put aff_sit,carry clean close cut hold lift move open pull push put sit,ocl
brace,aff_carry aff_clean aff_hold aff_push,carry clean hold push,ocl
brassiere,aff_carry aff_clean aff_hold aff_lift aff_open aff_push aff_sit,carry clean hold lift open push sit,ocl
bread,aff_carry aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry cook cut eat hold lie lift move pick pull push put,ocl
broccoli,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_stir,carry clean cook cut eat hold lie lift move pick pull push put stir,ocl
broom,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_stir,carry clean hold lie lift move pick pull push put stir,ocl
bubble,aff_carry aff_clean aff_cut aff_hold aff_move aff_open aff_push,carry clean cut hold move open push,ocl
buckeye,aff_carry aff_clean aff_cook aff_cut aff_hold aff_move aff_open aff_pick aff_put,carry clean cook cut hold move open pick put,ocl
bull,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit,carry clean cook cut eat hold lie lift move pick pull push put sit,ocl
burrito,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry clean cook cut eat hold lift pick pull push put,ocl
bus,aff_carry aff_clean aff_close aff_cut aff_drink aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cut drink hold lie lift move open pick pull push put sit,ocl
butterfly,aff_carry aff_hold aff_lift aff_move,carry hold lift move,ocl
cabbage,aff_carry aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry cook cut eat hold lie lift open push sit,ocl
cake,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry clean cook cut eat hold lie lift move pick pull push put,ocl
camel,aff_clean aff_hold aff_move aff_pull aff_push,clean hold move pull push,ocl
camera,aff_carry aff_clean aff_close aff_hold aff_lie aff_lift aff_open aff_pick aff_push aff_sit,carry clean close hold lie lift open pick push sit,ocl
can opener,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry clean close cut hold lift pick pull push put,ocl
candle,aff_carry aff_cook aff_lift aff_open aff_push aff_sit,carry cook lift open push sit,ocl
cannon,aff_clean aff_hold aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit,clean hold lift move pick pull push put sit,ocl
car,aff_carry aff_clean aff_close aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cook cut eat hold lie lift move open pick pull push put sit,ocl
cardigan,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
carnivore,aff_carry aff_clean aff_hold aff_lie aff_put,carry clean hold lie put,ocl
carrot,aff_carry aff_clean aff_cook aff_cut aff_drink aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_stir,carry clean cook cut drink eat hold lie lift move pick pull push put stir,ocl
cart,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_move aff_pull aff_push aff_put aff_sit,carry clean close cut hold lift move pull push put sit,ocl
cat,aff_carry aff_clean aff_close aff_cook aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cook cut hold lie lift move open pick pull push put sit,ocl
cattle,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit aff_stir,carry clean cook cut eat hold lie lift move pick pull push put sit stir,ocl
cavy,aff_carry aff_clean aff_hold aff_lift aff_move aff_pull aff_push aff_put,carry clean hold lift move pull push put,ocl
cello,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_sit,carry clean hold lie lift open sit,ocl
chain,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_push aff_sit size_medium,carry clean hold lie lift open push sit,ocl ycb
chainsaw,aff_carry aff_clean aff_close aff_hold aff_lie aff_lift aff_push aff_sit,carry clean close hold lie lift push sit,ocl
chair,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_sit,carry clean hold lie lift move pick pull sit,ocl
cheetah,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
chest of drawers,aff_carry aff_clean aff_cut aff_hold aff_lift aff_move aff_open aff_pull aff_push aff_put aff_sit,carry clean cut hold lift move open pull push put sit,ocl
chicken,aff_carry aff_clean aff_cook aff_cut aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put,carry clean cook cut hold lie lift move pull push put,ocl
chime,aff_carry aff_clean aff_hold aff_lift aff_move aff_pick aff_pull aff_push,carry clean hold lift move pick pull push,ocl
chips_can,geom_cavity mat_metal phys_shape_cylindrical size_medium,,ycb
clock,aff_close aff_cut aff_hold aff_pick aff_push aff_sit,close cut hold pick push sit,ocl
clog,aff_clean aff_eat aff_hold aff_lie aff_lift aff_open aff_pull aff_push aff_put aff_sit,clean eat hold lie lift open pull push put sit,ocl
closet,aff_carry aff_clean aff_hold aff_lie aff_lift,carry clean hold lie lift,ocl
coat,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
cocktail shaker,aff_carry aff_clean aff_close aff_eat aff_hold aff_lie aff_lift aff_pick aff_push aff_sit,carry clean close eat hold lie lift pick push sit,ocl
coffee,aff_carry aff_drink aff_eat aff_lift aff_sit,carry drink eat lift sit,ocl
colored_wood_blocks,mat_wood phys_shape_boxy size_medium,,ycb
computer keyboard,aff_cut aff_drink aff_lie aff_pick aff_push,cut drink lie pick push,ocl
computer mouse,aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_push,close cut hold lie lift move pick push,ocl
conch,aff_carry aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_push aff_sit,carry cook cut eat hold lie lift push sit,ocl
container,aff_carry aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cut hold lie lift move open pick pull push put sit,ocl
corn,aff_carry aff_cook aff_eat aff_hold aff_open aff_pull aff_push aff_stir,carry cook eat hold open pull push stir,ocl
couch,aff_carry aff_clean aff_cut aff_drink aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean cut drink hold lie lift open push sit,ocl
cowboy hat,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean hold lie lift open push sit,ocl
crab,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_push aff_sit,carry clean cook cut eat hold lie lift push sit,ocl
cracker_box,size_medium,,ycb
crocodile,aff_carry aff_hold aff_lie aff_lift,carry hold lie lift,ocl
crossword puzzle,aff_push,push,ocl
crutch,aff_carry aff_clean aff_hold aff_lift aff_open aff_push aff_sit,carry clean hold lift open push sit,ocl
cups,geom_cavity mat_ceramic part_handle phys_shape_cylindrical size_medium,,ycb
curtain,aff_carry aff_clean aff_close aff_hold aff_lift aff_open aff_pull aff_sit,carry clean close hold lift open pull sit,ocl
custard apple,aff_carry aff_cook aff_eat aff_hold aff_open aff_pull aff_push,carry cook eat hold open pull push,ocl
desk,aff_close aff_cut aff_drink aff_pick aff_push,close cut drink pick push,ocl
dessert,aff_carry aff_cook aff_cut aff_eat aff_hold aff_lift aff_open aff_pull aff_push aff_put aff_sit,carry cook cut eat hold lift open pull push put sit,ocl
dhole,aff_carry aff_clean aff_hold aff_lie aff_put,carry clean hold lie put,ocl
diaper,aff_carry aff_clean aff_cut aff_eat aff_hold aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean cut eat hold lift move open pick pull push put sit,ocl
dice,size_small,,ycb
digital clock,aff_carry aff_clean aff_cut aff_hold aff_lift aff_move aff_open aff_pull aff_push aff_put aff_sit,carry clean cut hold lift move open pull push put sit,ocl
dinosaur,aff_carry aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put,carry clean close cut hold lie lift move open pick pull push put,ocl
dishwasher,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_move aff_open aff_pull aff_push aff_put,carry clean close cut hold lift move open pull push put,ocl
dog,aff_carry aff_clean aff_close aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit aff_stir,carry clean close cook cut eat hold lie lift move open pick pull push put sit stir,ocl
door,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_move aff_open aff_pull aff_push aff_put aff_sit,carry clean close cut hold lift move open pull push put sit,ocl
dough,aff_carry aff_cook aff_eat aff_hold aff_open aff_push,carry cook eat hold open push,ocl
dragonfly,aff_move,move,ocl
drill,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_open aff_pick aff_pull aff_push aff_put,carry clean cut hold lie lift open pick pull push put,ocl
drum,aff_carry aff_clean aff_cut aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry clean cut hold lift pick pull push put,ocl
drumstick,aff_carry aff_clean aff_cut aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry clean cut hold lift pick pull push put,ocl
duck,aff_carry aff_clean aff_cook aff_cut aff_hold aff_lie aff_lift aff_move aff_put,carry clean cook cut hold lie lift move put,ocl
dumbbell,aff_carry aff_clean aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry clean hold lift pick pull push put,ocl
eagle,aff_hold aff_move aff_pull aff_push,hold move pull push,ocl
eggnog,aff_carry aff_cut aff_drink aff_eat aff_hold aff_lift aff_pull aff_push aff_put,carry cut drink eat hold lift pull push put,ocl
elephant,aff_carry aff_clean aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit,carry clean cut eat hold lie lift move pick pull push put sit,ocl
envelope,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean close cut hold lift open pick pull push put sit,ocl
eraser,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean cut hold lie lift open pick pull push put sit,ocl
extra_large_clamp,part_clamp size_large,,ycb
face powder,aff_carry aff_clean aff_cut aff_hold aff_lift aff_pick aff_pull aff_push aff_put aff_sit,carry clean cut hold lift pick pull push put sit,ocl
filing cabinet,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_open aff_pull aff_push,carry clean close cut hold lift open pull push,ocl
fish,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit,carry clean cook cut eat hold lift move pick pull push put sit,ocl
flat_screwdriver,mat_metal phys_shape_long size_medium size_small,,ycb
flower,aff_carry aff_cut aff_hold aff_lift aff_open aff_push aff_sit,carry cut hold lift open push sit,ocl
flowerpot,aff_carry aff_clean aff_eat aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean eat hold lie lift open push sit,ocl
flute,aff_carry aff_clean aff_hold aff_lift aff_push aff_sit,carry clean hold lift push sit,ocl
foam_brick,mat_foam mat_wood phys_shape_boxy size_medium,,ycb
football helmet,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_pull aff_push aff_sit,carry clean hold lie lift open pull push sit,ocl
footwear,aff_carry aff_clean aff_eat aff_hold aff_lie aff_lift aff_open aff_pull aff_push aff_put aff_sit,carry clean eat hold lie lift open pull push put sit,ocl
fork,mat_metal phys_shape_long size_medium size_small,,ycb
fountain,aff_clean aff_close aff_hold aff_open aff_push,clean close hold open push,ocl
fox,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
french horn,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_sit,carry clean hold lie lift open sit,ocl
frog,aff_eat aff_hold aff_move,eat hold move,ocl
frying pan,aff_carry aff_clean aff_eat aff_hold aff_lie aff_lift aff_open aff_push aff_sit,carry clean eat hold lie lift open push sit,ocl
furniture,aff_carry aff_clean aff_hold aff_lie aff_lift,carry clean hold lie lift,ocl
gazelle,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put,carry clean hold lie lift move pull push put,ocl
gelatin_box,size_medium,,ycb
giraffe,aff_carry aff_clean aff_cook aff_cut aff_drink aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_push aff_put aff_sit,carry clean cook cut drink hold lie lift move open pick pull push put sit,ocl
glove,aff_carry aff_hold,carry hold,ocl
goat,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put aff_sit,carry clean hold lie lift move pull push put sit,ocl
goblet,aff_hold aff_lie,hold lie,ocl
golf ball,aff_carry aff_clean aff_hold aff_lie aff_lift aff_push aff_sit,carry clean hold lie lift push sit,ocl
golf cart,aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_sit,clean close cut hold lie lift move open pull push sit,ocl
golf_ball,phys_shape_round size_small,,ycb
goose,aff_carry aff_clean aff_cook aff_cut aff_hold aff_lie aff_lift aff_move aff_put,carry clean cook cut hold lie lift move put,ocl
gown,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
guacamole,aff_cook aff_lie,cook lie,ocl
guitar,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_sit,carry clean hold lie lift move pull push sit,ocl
hair dryer,aff_lie,lie,ocl
hair slide,aff_lie,lie,ocl
hair spray,aff_carry aff_hold aff_lie,carry hold lie,ocl
hamburger,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lift aff_pick aff_pull aff_push aff_put,carry clean cook cut eat hold lift pick pull push put,ocl
hammer,aff_carry aff_clean aff_hold aff_lie aff_lift aff_open aff_push aff_sit mat_metal phys_shape_boxy phys_shape_long size_medium,carry clean hold lie lift open push sit,ocl ycb
hamster,aff_carry aff_clean aff_hold aff_lift aff_move aff_pull aff_push aff_put,carry clean hold lift move pull push put,ocl
handgun,aff_carry aff_clean aff_hold aff_lie aff_lift aff_pick aff_push aff_sit,carry clean hold lie lift pick push sit,ocl
handkerchief,aff_hold aff_lie,hold lie,ocl
harmonica,aff_hold aff_lie,hold lie,ocl
harp,aff_hold aff_lie aff_open,hold lie open,ocl
hartebeest,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put aff_sit,carry clean hold lie lift move pull push put sit,ocl
hat,aff_carry aff_hold aff_lie,carry hold lie,ocl
hay,aff_carry aff_eat aff_hold aff_open aff_push,carry eat hold open push,ocl
heater,aff_close aff_lie aff_put,close lie put,ocl
hedgehog,aff_carry aff_eat aff_hold aff_lie aff_lift aff_push aff_sit,carry eat hold lie lift push sit,ocl
helmet,aff_lie aff_put,lie put,ocl
hen,aff_carry aff_clean aff_cook aff_cut aff_hold aff_lie aff_lift aff_move aff_put,carry clean cook cut hold lie lift move put,ocl
hippopotamus,aff_drink aff_eat aff_lie aff_move,drink eat lie move,ocl
home appliance,aff_lie aff_move aff_pull aff_push aff_put,lie move pull push put,ocl
honeycomb,aff_carry aff_cook aff_drink aff_eat aff_hold aff_lift aff_move aff_put aff_sit aff_stir,carry cook drink eat hold lift move put sit stir,ocl
horizontal bar,aff_carry aff_clean aff_hold aff_lift aff_open,carry clean hold lift open,ocl
horse,aff_carry aff_clean aff_cut aff_drink aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit aff_stir,carry clean cut drink eat hold lie lift move pick pull push put sit stir,ocl
hot dog,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry clean cook cut eat hold lie lift move pick pull push put,ocl
hyena,aff_carry aff_clean aff_hold aff_lie aff_put,carry clean hold lie put,ocl
ibex,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put,carry clean hold lie lift move pull push put,ocl
ice cream,aff_carry aff_cut aff_eat aff_hold aff_lift aff_move aff_open aff_push aff_put aff_sit aff_stir,carry cut eat hold lift move open push put sit stir,ocl
impala,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pull aff_push aff_put aff_sit,carry clean hold lie lift move pull push put sit,ocl
insect,aff_carry aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_push aff_put aff_sit,carry hold lie lift move open pick push put sit,ocl
invertebrate,aff_carry aff_clean aff_cook aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit,carry clean cook cut eat hold lie lift move pick pull push put sit,ocl
ipod,aff_carry aff_close aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_put,carry close hold lie lift move open pick put,ocl
isopod,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_push aff_put aff_sit,carry clean hold lie lift move push put sit,ocl
jaguar,aff_carry aff_clean aff_hold aff_lie aff_put,carry clean hold lie put,ocl
jeans,aff_carry aff_clean aff_cut aff_eat aff_hold aff_lift aff_pull aff_push aff_sit,carry clean cut eat hold lift pull push sit,ocl
jellyfish,aff_carry aff_lift aff_push aff_sit,carry lift push sit,ocl
jinrikisha,aff_carry aff_clean aff_close aff_cut aff_hold aff_lift aff_move aff_pull aff_push aff_put aff_sit,carry clean close cut hold lift move pull push put sit,ocl
joystick,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean hold lie lift move pick put,ocl
jug,aff_carry aff_clean aff_hold aff_lie aff_lift aff_push aff_sit,carry clean hold lie lift push sit,ocl
key,size_medium,,ycb
kimono,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
kitchen utensil,aff_carry aff_clean aff_cook aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_put aff_sit,carry clean cook hold lie lift move open pull push put sit,ocl
knee pad,aff_carry aff_clean aff_hold aff_open aff_push,carry clean hold open push,ocl
knife,aff_carry aff_close aff_cook aff_cut aff_hold aff_lift aff_move aff_push aff_put mat_metal phys_shape_long size_medium size_small,carry close cook cut hold lift move push put,ocl ycb
knot,aff_carry aff_cook aff_hold aff_lie aff_lift aff_move aff_pick aff_push aff_put aff_sit,carry cook hold lie lift move pick push put sit,ocl
koala,aff_carry aff_hold aff_lie aff_lift aff_push aff_sit,carry hold lie lift push sit,ocl
lab coat,aff_carry aff_clean aff_cut aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean cut hold lie lift move pick put,ocl
ladle,aff_carry aff_clean aff_cut aff_drink aff_eat aff_hold aff_lift aff_move aff_open aff_pick aff_push aff_stir,carry clean cut drink eat hold lift move open pick push stir,ocl
lamp,aff_carry aff_clean aff_close aff_hold aff_lie aff_lift aff_move aff_pick aff_pull aff_push aff_put aff_sit,carry clean close hold lie lift move pick pull push put sit,ocl
lampshade,aff_hold aff_push,hold push,ocl
lantern,aff_carry aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_put,carry clean close cut hold lie lift move open pick put,ocl
laptop,aff_carry aff_clean aff_close aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_put,carry clean close hold lie lift move open pick put,ocl
large_clamp,part_clamp size_large,,ycb
large_marker,phys_shape_cylindrical size_large,,ycb
lego_duplo,size_medium,,ycb
lemon,aff_carry aff_clean aff_cut aff_eat aff_hold aff_lie aff_lift aff_move aff_pick aff_put size_medium,carry clean cut eat hold lie lift move pick put,ocl ycb
letter opener,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_put,carry clean hold lie lift move open pick put,ocl
lighthouse,aff_clean aff_lift aff_move aff_open,clean lift move open,ocl
limousine,aff_clean aff_close aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pull aff_push aff_sit,clean close cut hold lie lift move open pull push sit,ocl
lion,aff_clean aff_hold aff_lie aff_move,clean hold lie move,ocl
lipstick,aff_carry aff_clean aff_close aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_pull aff_put,carry clean close hold lie lift move open pick pull put,ocl
lizard,aff_carry aff_clean aff_cook aff_cut aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_put,carry clean cook cut hold lie lift move open pick put,ocl
loudspeaker,aff_carry aff_close aff_hold aff_lie aff_lift aff_move aff_open aff_pick aff_push aff_put,carry close hold lie lift move open pick push put,ocl
loupe,aff_carry aff_clean aff_hold aff_lie aff_lift aff_move aff_pick aff_put,carry clean hold lie lift move pick put,ocl
madagascar cat,aff_carry aff_clean aff_hold aff_lift aff_move aff_pick aff_pull aff_push aff_put,carry clean hold lift move pick pull push put,ocl
mailbox,aff_clean aff_hold aff_lie aff_lift aff_move aff_open aff_push aff_put,clean hold lie lift move open push put,ocl
